page 1,"https://www.amazon.com/s/ref=sr_pg_1?fst=as%3Aon&rh=n%3A1055398%2Cn%3A1063278%2Cn%3A1063298%2Cn%3A684541011%2Ck%3Aarea+rugs&keywords=area+rugs&ie=UTF8&qid=1501789698&spIA=B0168Y18HK,B0168Y1LOA,B01MYGFAXK,B06Y5VGDQJ,B073K1DKH5,B0742CVJRY,B06XSNH22G,B06XBHPFVK,B07424TKQX,B016WT6BNM,B06W5SXCXZ,B0716Y9D12,B01GIOSM2O,B00YFECHB2,B0168Y0DT4,B07427DB33,B01N3AMK9A,B06WGRJWW6,B01GS0VV62,B07428GBRN,B071JZLZN6,B01MUA3BTB,B00WGU6WSQ,B07234DWJX",
id,prod_name,prod_link
14,Safavieh Adirondack Collection ADR101B Ivory and Silver Oriental Vintage Distressed Area Rug (9' x 12'),https://www.amazon.com/Safavieh-Adirondack-Collection-Oriental-Distressed/dp/B00JLVRHQY/ref=sr_1_15/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-15&keywords=area+rugs
15,Cozy Moroccan Trellis Indoor Shag Area Rug 9' X 12' Gray/Cream,https://www.amazon.com/Cozy-Moroccan-Trellis-Indoor-Cream/dp/B074HCXQ1Q/ref=sr_1_16/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-16&keywords=area+rugs
16,"Ottomanson Soft Cozy Color Solid Shag Area Rug Contemporary Living and Bedroom Soft Shag Area Rug, Dark Grey, 5'3"" L x 7'0"" W",https://www.amazon.com/Ottomanson-Color-Contemporary-Living-Bedroom/dp/B01AKPO8CK/ref=sr_1_17/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-17&keywords=area+rugs
17,"Ottomanson Ottohome Multi-Color Contemporary Checkered Design Modern Area Rug with Non-SkidRubber Backing, 1'10"" W X 7'0"" L",https://www.amazon.com/Ottomanson-Multi-Color-Contemporary-Checkered-Non-SkidRubber/dp/B00EP05DC6/ref=sr_1_18/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-18&keywords=area+rugs
18,"Superior Fancy Medallion Collection 5' x 8' Area Rug, Attractive Rug with Jute Backing, Durable and Beautiful Woven Structure, Bright and Bold Geometric Mandala Pattern",https://www.amazon.com/Superior-Medallion-Collection-Attractive-Beautiful/dp/B075BV7LWG/ref=sr_1_19/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-19&keywords=area+rugs
19,"Kapaqua Moroccan Trellis Shag Area Rug, Royal Shag Collection SHG4505, Grass Green/Ivory",https://www.amazon.com/Kapaqua-Moroccan-Trellis-Collection-SHG4505/dp/B01NBPENW4/ref=sr_1_20/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-20&keywords=area+rugs
20,"Sweet Home Stores Clifton Collection Modern Circles Design Area Rug, 8'2''x9'10'', Beige",https://www.amazon.com/Sweet-Home-Stores-Clifton-Collection/dp/B00SA6DSVO/ref=sr_1_21/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-21&keywords=area+rugs
21,"Safavieh Natural Fiber Collection NF114A Basketweave Natural and  Beige Seagrass Area Rug (2'6"" x 4')",https://www.amazon.com/Safavieh-Natural-Collection-Basketweave-Seagrass/dp/B004JWYJE8/ref=sr_1_22/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-22&keywords=area+rugs
22,"Generations New Contemporary Panel and Diamonds Modern Area Rug, 9' x 12', Beige/Navy/Coral/Blue/Grey",https://www.amazon.com/Generations-Contemporary-Panel-Diamonds-Modern/dp/B00TW0NB9G/ref=sr_1_23/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-23&keywords=area+rugs
23,"Bright House Solid Color Area Rug, 7' L X 9' W, Beige",https://www.amazon.com/Bright-House-Solid-Color-Beige/dp/B01N7WQZ01/ref=sr_1_24/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-24&keywords=area+rugs
24,"Royal Collection Beige Contemporary Abstract Circle Design Area Rug (5'3""X7'0"")",https://www.amazon.com/Collection-Contemporary-Abstract-Circle-Design/dp/B00EPOU2PU/ref=sr_1_25/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-25&keywords=area+rugs
25,"Garland Rug Sparta Area Rug, 5-Feet by 7-Feet, Tan",https://www.amazon.com/Garland-Rug-Sparta-5-Feet-7-Feet/dp/B004ZYV0ZQ/ref=sr_1_26/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-26&keywords=area+rugs
26,2305 Gray Black Red White Swirls 5'2 x7'2 Modern Abstract Area Rug Carpet by Persian-Rugs,https://www.amazon.com/2305-Gray-Abstract-Area-Persian-Rugs/dp/B01IE8J3KW/ref=sr_1_27/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-27&keywords=area+rugs
27,"nuLOOM Hand Loomed Diamond Cotton Check Flat Woven Area Rugs, 4' x 6', Taupe",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_garden_sr_pg1_1?ie=UTF8&adId=A042088938O3JWEWWXK80&url=https%3A%2F%2Fwww.amazon.com%2FnuLOOM-Loomed-Diamond-Cotton-Check%2Fdp%2FB01HDWCG5O%2Fref%3Dsr_1_28_sspa%2F144-3276506-6989910%3Fs%3Dfurniture%26ie%3DUTF8%26qid%3D1506502638%26sr%3D1-28-spons%26keywords%3Darea%2Brugs%26psc%3D1&qualifier=1506502638&id=963497654872142&widgetName=sp_btf
28,Brindle Dark Tricolor Cowhide Rug XL APPROX 6ft x 8ft 180cm x 240cm - Top Quality from LUXURY COWHIDES,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_garden_sr_pg1_2?ie=UTF8&adId=A0854869NSE54II8MN08&url=https%3A%2F%2Fwww.amazon.com%2FBrindle-Tricolor-Cowhide-APPROX-180cm%2Fdp%2FB01LOIGEI8%2Fref%3Dsr_1_29_sspa%2F144-3276506-6989910%3Fs%3Dfurniture%26ie%3DUTF8%26qid%3D1506502638%26sr%3D1-29-spons%26keywords%3Darea%2Brugs%26psc%3D1&qualifier=1506502638&id=963497654872142&widgetName=sp_btf
29,"Broadway 4' x 6' Ivory Area Rug, Contemporary Living Room & Bedroom Area Rug, Anti-Static and Water-Repellent for Residential or Commercial Use, 4-feet By 6-feet",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_garden_sr_pg1_3?ie=UTF8&adId=A07605343SAPSPGRXXJ31&url=https%3A%2F%2Fwww.amazon.com%2FContemporary-Anti-Static-Water-Repellent-Residential-Commercial%2Fdp%2FB071L98F9F%2Fref%3Dsr_1_30_sspa%2F144-3276506-6989910%3Fs%3Dfurniture%26ie%3DUTF8%26qid%3D1506502638%26sr%3D1-30-spons%26keywords%3Darea%2Brugs%26psc%3D1&qualifier=1506502638&id=963497654872142&widgetName=sp_btf
